user_id,job_title,team,org,football,cooking,photography,reading,video_games,traveling,coding,music,hiking,movies
1,Software Engineer,Backend,Engineering,1,0,1,1,0,1,1,0,0,1
2,Data Analyst,Analytics,Analytics,0,1,0,1,1,1,1,0,0,1
3,Graphic Designer,Design,Design,0,1,1,0,1,1,0,1,0,1
4,Project Manager,Operations,Management,0,0,0,1,0,1,0,0,1,1
5,Marketing Specialist,Marketing,Marketing,0,0,1,1,1,1,0,0,0,1
6,HR Manager,HR,Human Resources,0,0,0,0,0,0,0,0,0,1
7,Frontend Developer,Frontend,Engineering,1,0,0,1,1,1,1,0,0,1
8,Content Writer,Content,Marketing,0,1,1,1,0,1,0,0,0,1
9,UI/UX Designer,Design,Design,0,0,1,1,0,1,0,0,0,1
10,Financial Analyst,Finance,Finance,0,0,0,1,0,0,1,0,0,1
11,Software Engineer,Backend,Engineering,1,1,0,1,1,0,1,0,0,1
12,Data Scientist,Analytics,Engineering,0,0,1,1,1,1,0,1,0,1
13,Product Manager,Product,Management,0,1,1,1,0,0,0,1,0,1
14,UI/UX Designer,Design,Design,1,1,1,0,1,0,0,0,1,1
15,Marketing Specialist,Marketing,Marketing,0,0,0,1,0,0,0,0,1,1
16,Financial Analyst,Finance,Finance,0,0,0,1,0,0,0,0,0,0
17,HR Coordinator,HR,Administration,0,0,0,1,0,0,0,0,0,0
18,Customer Support Representative,Support,Customer Service,0,0,0,0,0,0,0,0,0,1
19,Quality Assurance Engineer,QA,Engineering,0,0,0,0,0,0,1,0,0,0
20,Operations Manager,Operations,Management,0,1,0,0,0,0,0,0,1,1
21,Frontend Engineer,Web Team,Tech Solutions,1,0,1,1,0,1,1,1,0,1
22,Data Scientist,Analytics,Data Insights,0,1,0,1,1,1,1,1,1,0
23,Software Developer,Backend Team,Tech Solutions,1,1,1,0,0,0,1,1,1,1
24,UX Designer,Design Team,Creative,0,1,1,1,0,1,0,1,0,1
25,Marketing Specialist,Marketing,Marketing,0,0,0,1,0,1,0,1,0,1
